Date,Close
4/23/2021,"4,180.17"
4/1/2021,"4,180.17"
3/1/2021,"3,972.89"
2/1/2021,"3,811.15"
1/1/2021,"3,714.24"
12/1/2020,"3,756.07"
11/1/2020,"3,621.63"
10/1/2020,"3,269.96"
9/1/2020,"3,363.00"
8/1/2020,"3,500.31"
7/1/2020,"3,271.12"
6/1/2020,"3,100.29"
5/1/2020,"3,044.31"
4/1/2020,"2,912.43"
3/1/2020,"2,584.59"
2/1/2020,"2,954.22"
1/1/2020,"3,225.52"
12/1/2019,"3,230.78"
11/1/2019,"3,140.98"
10/1/2019,"3,037.56"
9/1/2019,"2,976.74"
8/1/2019,"2,926.46"
7/1/2019,"2,980.38"
6/1/2019,"2,941.76"
5/1/2019,"2,752.06"
4/1/2019,"2,945.83"
3/1/2019,"2,834.40"
2/1/2019,"2,784.49"
1/1/2019,"2,704.10"
12/1/2018,"2,506.85"
11/1/2018,"2,760.17"
10/1/2018,"2,711.74"
9/1/2018,"2,913.98"
8/1/2018,"2,901.52"
7/1/2018,"2,816.29"
6/1/2018,"2,718.37"
5/1/2018,"2,705.27"
4/1/2018,"2,648.05"
3/1/2018,"2,640.87"
2/1/2018,"2,713.83"
1/1/2018,"2,823.81"
12/1/2017,"2,673.61"
11/1/2017,"2,647.58"
10/1/2017,"2,575.26"
9/1/2017,"2,519.36"
8/1/2017,"2,471.65"
7/1/2017,"2,470.30"
6/1/2017,"2,423.41"
5/1/2017,"2,411.80"
4/1/2017,"2,384.20"
3/1/2017,"2,362.72"
2/1/2017,"2,363.64"
1/1/2017,"2,278.87"
12/1/2016,"2,238.83"
11/1/2016,"2,198.81"
10/1/2016,"2,126.15"
9/1/2016,"2,168.27"
8/1/2016,"2,170.95"
7/1/2016,"2,173.60"
6/1/2016,"2,098.86"
5/1/2016,"2,096.95"
4/1/2016,"2,065.30"
3/1/2016,"2,059.74"
2/1/2016,"1,932.23"
1/1/2016,"1,940.24"
12/1/2015,"2,043.94"
11/1/2015,"2,080.41"
10/1/2015,"2,079.36"
9/1/2015,"1,920.03"
8/1/2015,"1,972.18"
7/1/2015,"2,103.84"
6/1/2015,"2,063.11"
5/1/2015,"2,107.39"
4/1/2015,"2,085.51"
3/1/2015,"2,067.89"
2/1/2015,"2,104.50"
1/1/2015,"1,994.99"
12/1/2014,"2,058.90"
11/1/2014,"2,067.56"
10/1/2014,"2,018.05"
9/1/2014,"1,972.29"
8/1/2014,"2,003.37"
7/1/2014,"1,930.67"
6/1/2014,"1,960.23"
5/1/2014,"1,923.57"
4/1/2014,"1,883.95"
3/1/2014,"1,872.34"
2/1/2014,"1,859.45"
1/1/2014,"1,782.59"
